,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
9719,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,3 Bedrooms,1200.0,81,738,2018-03-31
9720,Greater Sydney,Inner Ring,Woollahra,Flat/Unit,4 or more Bedrooms,,,78,2018-03-31
9763,Greater Sydney,Middle Ring,Bayside,House,Total,650.0,251,3055,2018-03-31
9764,Greater Sydney,Middle Ring,Bayside,House,Bedsitter,,,,2018-03-31
9765,Greater Sydney,Middle Ring,Bayside,House,1 Bedroom,410.0,s,70,2018-03-31
9766,Greater Sydney,Middle Ring,Bayside,House,Not Specified,,,143,2018-03-31
9767,Greater Sydney,Middle Ring,Bayside,House,2 Bedrooms,570.0,64,698,2018-03-31
9768,Greater Sydney,Middle Ring,Bayside,House,3 Bedrooms,690.0,111,1541,2018-03-31
9769,Greater Sydney,Middle Ring,Bayside,House,4 or more Bedrooms,850.0,58,597,2018-03-31
9770,Greater Sydney,Middle Ring,Bayside,Other,Total,565.0,98,2453,2018-03-31
9771,Greater Sydney,Middle Ring,Bayside,Other,Bedsitter,,,43,2018-03-31
9772,Greater Sydney,Middle Ring,Bayside,Other,1 Bedroom,450.0,s,200,2018-03-31
9773,Greater Sydney,Middle Ring,Bayside,Other,Not Specified,530.0,s,924,2018-03-31
9774,Greater Sydney,Middle Ring,Bayside,Other,2 Bedrooms,550.0,37,864,2018-03-31
9775,Greater Sydney,Middle Ring,Bayside,Other,3 Bedrooms,712.5,s,352,2018-03-31
9776,Greater Sydney,Middle Ring,Bayside,Other,4 or more Bedrooms,,,70,2018-03-31
9777,Greater Sydney,Middle Ring,Bayside,Townhouse,Total,650.0,101,1173,2018-03-31
9778,Greater Sydney,Middle Ring,Bayside,Townhouse,1 Bedroom,,,129,2018-03-31
9779,Greater Sydney,Middle Ring,Bayside,Townhouse,Not Specified,,,42,2018-03-31
9780,Greater Sydney,Middle Ring,Bayside,Townhouse,2 Bedrooms,550.0,s,439,2018-03-31
9781,Greater Sydney,Middle Ring,Bayside,Townhouse,3 Bedrooms,740.0,47,472,2018-03-31
9782,Greater Sydney,Middle Ring,Bayside,Townhouse,4 or more Bedrooms,1200.0,s,91,2018-03-31
9783,Greater Sydney,Middle Ring,Bayside,Flat/Unit,Total,585.0,1724,14058,2018-03-31
9784,Greater Sydney,Middle Ring,Bayside,Flat/Unit,Bedsitter,,,43,2018-03-31
9785,Greater Sydney,Middle Ring,Bayside,Flat/Unit,1 Bedroom,540.0,453,2666,2018-03-31
9786,Greater Sydney,Middle Ring,Bayside,Flat/Unit,Not Specified,500.0,37,600,2018-03-31
9787,Greater Sydney,Middle Ring,Bayside,Flat/Unit,2 Bedrooms,617.5,1092,9432,2018-03-31
