,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
151,North Sydney,1081.0,1180.0,268.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,615.0,1413.0,12923.0,Strata
152,Randwick,2155.0,2285.0,128.0,2018-06-30,Greater Sydney,Inner Ring,House,950.0,245.0,2019.0,Non Strata
153,Randwick,918.0,989.0,234.0,2018-06-30,Greater Sydney,Inner Ring,Other,480.0,120.0,2455.0,Strata
154,Randwick,918.0,989.0,234.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,875.0,83.0,1176.0,Strata
155,Randwick,918.0,989.0,234.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,630.0,1346.0,14567.0,Strata
156,Sydney,1600.0,1912.0,160.0,2018-06-30,Greater Sydney,Inner Ring,House,810.0,447.0,2711.0,Non Strata
157,Sydney,900.0,984.0,826.0,2018-06-30,Greater Sydney,Inner Ring,Other,465.0,1165.0,9873.0,Strata
158,Sydney,900.0,984.0,826.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,830.0,268.0,3868.0,Strata
159,Sydney,900.0,984.0,826.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,650.0,4543.0,39084.0,Strata
160,Waverley,2778.0,3036.0,76.0,2018-06-30,Greater Sydney,Inner Ring,House,1200.0,126.0,943.0,Non Strata
161,Waverley,1190.0,1231.0,188.0,2018-06-30,Greater Sydney,Inner Ring,Other,692.5,42.0,1685.0,Strata
162,Waverley,1190.0,1231.0,188.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,1175.0,59.0,624.0,Strata
163,Waverley,1190.0,1231.0,188.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,700.0,1013.0,10099.0,Strata
164,Woollahra,3255.0,3750.0,80.0,2018-06-30,Greater Sydney,Inner Ring,House,1250.0,91.0,794.0,Non Strata
165,Woollahra,1255.0,1712.0,135.0,2018-06-30,Greater Sydney,Inner Ring,Other,910.0,50.0,1261.0,Strata
166,Woollahra,1255.0,1712.0,135.0,2018-06-30,Greater Sydney,Inner Ring,Townhouse,1140.0,56.0,781.0,Strata
167,Woollahra,1255.0,1712.0,135.0,2018-06-30,Greater Sydney,Inner Ring,Flat/Unit,690.0,519.0,5557.0,Strata
168,Bayside,1298.0,1358.0,149.0,2018-06-30,Greater Sydney,Middle Ring,House,680.0,291.0,3100.0,Non Strata
169,Bayside,720.0,744.0,363.0,2018-06-30,Greater Sydney,Middle Ring,Other,537.5,92.0,2360.0,Strata
170,Bayside,720.0,744.0,363.0,2018-06-30,Greater Sydney,Middle Ring,Townhouse,665.0,100.0,1176.0,Strata
171,Bayside,720.0,744.0,363.0,2018-06-30,Greater Sydney,Middle Ring,Flat/Unit,565.0,1487.0,14397.0,Strata
172,Burwood,1608.0,1730.0,32.0,2018-06-30,Greater Sydney,Middle Ring,House,650.0,51.0,564.0,Non Strata
